"run","variant","line_profile","line_name","preset","submit_ops","threads_arg","engine_workers_arg","runtime_mode","dll","tps_ops_per_s","plans_per_s","ffi_v2_calls_per_s","avg_ops_per_plan","avg_ops_per_call","elapsed_sec","done_ops"
"1","core","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","21697857.34","21350.69","21350.69","1016.26","1016.26","0.046","1000000"
"2","core","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","23383006.63","23008.88","23008.88","1016.26","1016.26","0.043","1000000"
"3","core","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22004959.92","21652.88","21652.88","1016.26","1016.26","0.045","1000000"
"1","core","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22739572.77","22216.56","22216.56","1023.54","1023.54","0.044","1000000"
"2","core","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","24221285.67","23664.2","23664.2","1023.54","1023.54","0.041","1000000"
"3","core","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","10268806.55","10032.62","10032.62","1023.54","1023.54","0.097","1000000"
"1","core","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","10424245.96","10424245.96","10424245.96","1","1","0.096","1000000"
"2","core","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11564289.94","11564289.94","11564289.94","1","1","0.086","1000000"
"3","core","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11687226.45","11687226.45","11687226.45","1","1","0.086","1000000"
"1","core","seal_single","cpu_parity_single","cpu_parity","1","1","16","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","5019573.83","5019573.83","5019573.83","1","1","0.199","1000000"
"2","core","seal_single","cpu_parity_single","cpu_parity","1","1","16","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","5261980.87","5261980.87","5261980.87","1","1","0.19","1000000"
"3","core","seal_single","cpu_parity_single","cpu_parity","1","1","16","core","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","5226268.69","5226268.69","5226268.69","1","1","0.191","1000000"
"1","persist","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","23416187.61","23041.53","23041.53","1016.26","1016.26","0.043","1000000"
"2","persist","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","18590574.21","18293.13","18293.13","1016.26","1016.26","0.054","1000000"
"3","persist","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","16339575.6","16078.14","16078.14","1016.26","1016.26","0.061","1000000"
"1","persist","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22244070.84","21732.46","21732.46","1023.54","1023.54","0.045","1000000"
"2","persist","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22212152.71","21701.27","21701.27","1023.54","1023.54","0.045","1000000"
"3","persist","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11739872.6","11469.86","11469.86","1023.54","1023.54","0.085","1000000"
"1","persist","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11285255.14","11285255.14","11285255.14","1","1","0.089","1000000"
"2","persist","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11638124.17","11638124.17","11638124.17","1","1","0.086","1000000"
"3","persist","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11429603.36","11429603.36","11429603.36","1","1","0.087","1000000"
"1","persist","seal_single","cpu_parity_single","cpu_parity","1","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","5004939.88","5004939.88","5004939.88","1","1","0.2","1000000"
